,Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Extract Date,Year
3909,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),939480,Parkview Alternative School,Public,Not applicable,Secondary,English,9-12,,,1641 Pharmacy Avenue,Toronto,Scarborough,Ontario,M1R2L2,,,http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno=4176&Status=L,www.tdsb.on.ca,80,43.76749,-79.3131,20,100,0,0,40,0,,,,,,,,N/R,,30,10,2021-07-10 00:00:00,2018
3927,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),937266,R H King Academy,Public,Not applicable,Secondary,English,9-12,,,3800 St Clair Ave E,Toronto,Toronto,Ontario,M1M1V3,416-396-5550,416-396-5591,http://www.rhkingacademy.ca,www.tdsb.on.ca,1275,43.72262,-79.2374,55,100,5,4,12,1,,,,86%,-8.0,31%,-25.0,90%,0.0,24,6,2021-07-10 00:00:00,2018
3935,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),938173,Richview Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,1738 Islington Ave,Toronto,Etobicoke,Ontario,M9A3N2,416-394-7980,416-394-6987,http://schoolweb.tdsb.on.ca/richview,www.tdsb.on.ca,1050,43.67861,-79.5398,22,99,2,1,10,3,,,,87%,2.0,41%,3.0,90%,-2.0,14,6,2021-07-10 00:00:00,2018
3938,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),939080,Riverdale Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,1094 Gerrard St E,Toronto,Toronto,Ontario,M4M2A1,416-393-9820,416-393-0988,http://schoolweb.tdsb.on.ca/riverdale/home.aspx,www.tdsb.on.ca,1210,43.67004,-79.3349,33,100,0,1,20,3,,,,90%,4.0,55%,22.0,91%,6.0,25,12,2021-07-10 00:00:00,2018
3945,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),898910,Rosedale Heights School of the Arts,Public,Not applicable,Secondary,English,9-12,,,711 Bloor St E,Toronto,Toronto,Ontario,M4W1J4,416-393-1580,416-393-1586,http://rhsa.ca/,www.tdsb.on.ca,1070,43.67393,-79.366,12,99,2,1,21,8,,,,85%,4.0,53%,1.0,95%,-1.0,17,7,2021-07-10 00:00:00,2018
3951,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),939609,Runnymede Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,569 Jane St,Toronto,Toronto,Ontario,M6S4A3,416-394-3200,416-394-4445,http://www.runnymedecollegiate.com,www.tdsb.on.ca,540,43.66332,-79.4896,39,100,4,4,21,1,,,,59%,-3.0,21%,11.0,70%,-3.0,31,20,2021-07-10 00:00:00,2018
3954,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),949744,SATEC @ W A Porter Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,40 Fairfax Cres,Toronto,Scarborough,Ontario,M1L1Z9,416-396-3365,416-396-3371,http://satecatwaporter.ca,www.tdsb.on.ca,1200,43.71659,-79.2873,69,99,5,5,9,3,,,,88%,-2.0,50%,18.0,90%,0.0,25,9,2021-07-10 00:00:00,2018
3955,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),936669,SEED Alternative School,Public,Alternative,Secondary,English,9-12,,,885 Dundas St E,Toronto,Toronto,Ontario,M4M1R4,416-393-0564,416-393-0565,http://www.tdsb.on.ca/schools/index.asp?schno=5596,www.tdsb.on.ca,110,43.66203,-79.3502,20,100,5,0,15,5,,,,,,,,N/D,,25,10,2021-07-10 00:00:00,2018
3957,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),940445,Scarborough Centre for Alternative Studi,Public,Alternative,Secondary,English,9-12,,,720 Midland Avenue,Toronto,Toronto,Ontario,M1K4C9,416-396-6921,416-396-6739,http://www.scasonline.com,www.tdsb.on.ca,400,43.72815,-79.2567,55,95,40,40,20,0,,,,,,,,N/D,,30,15,2021-07-10 00:00:00,2018
3959,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),940623,School of Experiential Education,Public,Alternative,Secondary,English,9-12,,,40 McArthur St,Toronto,Toronto,Ontario,M9P3M7,416-394-6990,416-394-6991,http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno=2831,www.tdsb.on.ca,90,43.70147,-79.5467,10,100,0,0,40,0,,,,,,,,N/R,,30,20,2021-07-10 00:00:00,2018
3960,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),940720,School of Life Experience,Public,Alternative,Secondary,English,9-12,,,1 Hanson Street,Toronto,Toronto,Ontario,M4J1G6,416-393-0756,416-393-1516,http://www.solealternative.ca,www.tdsb.on.ca,130,43.68078,-79.3306,15,100,0,0,30,5,,,,,,,,N/R,,20,10,2021-07-10 00:00:00,2018
3972,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),941425,Silverthorn Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,291 Mill Rd,Toronto,Etobicoke,Ontario,M9C1Y5,416-394-7010,416-394-7924,http://www.silverthornci.com,www.tdsb.on.ca,885,43.63783,-79.5804,27,99,6,6,20,1,,,,74%,-8.0,17%,-3.0,80%,1.0,17,6,2021-07-10 00:00:00,2018
3977,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),941948,Sir John A Macdonald Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2300 Pharmacy Ave,Toronto,Toronto,Ontario,M1W1H8,416-396-6793,416-396-6843,http://schoolweb.tdsb.on.ca/johnamacdonald,www.tdsb.on.ca,1155,43.78707,-79.3237,62,99,8,9,16,1,,,,78%,-13.0,34%,-33.0,82%,-7.0,23,8,2021-07-10 00:00:00,2018
3978,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),941972,Sir Oliver Mowat Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,5400 Lawrence Ave E,Toronto,Toronto,Ontario,M1C2C6,416-396-6802,416-396-6758,http://schoolweb.tdsb.on.ca/mowatci,www.tdsb.on.ca,1085,43.77929,-79.1422,17,100,2,3,21,2,,,,79%,2.0,17%,-10.0,80%,-3.0,11,4,2021-07-10 00:00:00,2018
3980,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),942200,Sir Wilfrid Laurier Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,145 Guildwood Pkwy,Toronto,Toronto,Ontario,M1E1P5,416-396-6820,416-396-6873,http://www.sirwilfridlaurierci.ca,www.tdsb.on.ca,1360,43.74703,-79.197,54,99,6,6,16,1,,,,77%,-2.0,8%,-14.0,80%,7.0,28,13,2021-07-10 00:00:00,2018
3981,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),942367,Sir William Osler High School,Public,Vocational/Occupational,Secondary,English,9-12,,,1050 Huntingwood Dr,Toronto,Toronto,Ontario,M1S3H5,416-396-6830,416-396-6837,http://schoolweb.tdsb.on.ca/sirwilliamosler,www.tdsb.on.ca,205,43.79756,-79.2874,55,100,0,5,100,0,,,,,,,,N/R,,25,15,2021-07-10 00:00:00,2018
3984,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),960413,South East Year Round Alternative Centre,Public,Not applicable,Secondary,English,9-12,,,720 Midland Avenue,Toronto,Toronto,Ontario,M1K4C9,,,http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno=4800,www.tdsb.on.ca,75,43.72851,-79.2556,20,100,0,0,40,0,,,,,,,,N/D,,30,10,2021-07-10 00:00:00,2018
3993,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),945250,Stephen Leacock Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2450 Birchmount Rd,Toronto,Toronto,Ontario,M1T2M5,416-396-8000,416-396-8042,http://stephenleacock.ca,www.tdsb.on.ca,620,43.78552,-79.3011,68,100,21,22,22,0,,,,56%,-39.0,48%,6.0,85%,5.0,33,13,2021-07-10 00:00:00,2018
3995,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),946192,Subway Academy I,Public,Alternative,Secondary,English,9-12,,,16 Phin Ave,Toronto,Toronto,Ontario,M4J3T2,416-393-9466,416-393-9469,http://subwayacademyone.com,www.tdsb.on.ca,80,43.67913,-79.3366,10,100,0,0,20,0,,,,N/R,,N/R,,62%,,20,10,2021-07-10 00:00:00,2018
3996,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),946338,Subway Academy II,Public,Alternative,Secondary,English,9-12,,,64 Baldwin St,Toronto,Toronto,Ontario,M5T1L4,416-393-1445,416-393-8163,http://schoolweb.tdsb.on.ca/subwayacademy2,www.tdsb.on.ca,95,43.6558,-79.3957,20,90,0,0,20,0,,,,,,,,N/D,,20,10,2021-07-10 00:00:00,2018
4008,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),947300,The Student School,Public,Alternative,Secondary,English,9-12,,,160 Glendonwynne Road,Toronto,Toronto,Ontario,M6P0A5,416-393-9639,416-393-8496,http://www.thestudentschool.org,www.tdsb.on.ca,100,43.65667,-79.4741,10,95,0,0,15,10,,,,,,,,N/D,,20,10,2021-07-10 00:00:00,2018
4010,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),947407,Thistletown Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,20 Fordwich Cres,Toronto,Toronto,Ontario,M9W2T4,416-394-7710,416-394-7726,http://schoolweb.tdsb.on.ca/thistletownci,www.tdsb.on.ca,480,43.72772,-79.5624,50,95,5,10,25,0,,,,55%,-17.0,11%,-26.0,89%,10.0,30,20,2021-07-10 00:00:00,2018
4020,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),949027,Ursula Franklin Academy,Public,Not applicable,Secondary,English,9-12,,,146 Glendonwynne Rd,Toronto,Toronto,Ontario,M6P3J7,416-393-0430,416-393-0970,http://www.ufacademy.org,www.tdsb.on.ca,525,43.65709,-79.4746,21,99,1,1,6,15,,,,97%,3.0,N/D,,100%,2.0,12,5,2021-07-10 00:00:00,2018
4023,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),949353,Victoria Park Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,15 Wallingford Rd,Toronto,Toronto,Ontario,M3A2V1,416-395-3310,416-395-4208,http://victoriaparkci.ca,www.tdsb.on.ca,1235,43.75605,-79.3215,64,100,7,7,14,10,,,,82%,-6.0,21%,-2.0,75%,-11.0,27,7,2021-07-10 00:00:00,2018
4031,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),928852,West End Alternative School,Public,Alternative,Secondary,English,9-12,3rd Floor,,777 Bloor St W,Toronto,Toronto,Ontario,M6G1L6,416-393-0660,416-393-0655,http://westendalternativeschool.weebly.com/,www.tdsb.on.ca,80,43.66242,-79.4198,10,100,0,0,40,10,,,,,,,,N/R,,30,20,2021-07-10 00:00:00,2018
4033,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),951560,West Hill Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,350 Morningside Ave,Toronto,Toronto,Ontario,M1E3G3,416-396-6864,416-396-8300,http://schools.tdsb.on.ca/westhill,www.tdsb.on.ca,680,43.77566,-79.1906,37,100,11,11,35,0,,,,65%,-4.0,11%,-10.0,70%,2.0,26,10,2021-07-10 00:00:00,2018
4035,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),951749,West Humber Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,1675 Martin Grove Rd,Toronto,Toronto,Ontario,M9V3S3,416-394-7570,416-394-3862,http://www.westhumber.com,www.tdsb.on.ca,1075,43.73092,-79.5867,58,99,7,7,17,1,,,,88%,0.0,33%,-4.0,86%,13.0,22,19,2021-07-10 00:00:00,2018
4039,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),951951,Western Technical & Commercial School,Public,Not applicable,Secondary,English,9-12,,,125 Evelyn Cres,Toronto,Toronto,Ontario,M6P3E3,416-393-0500,416-393-0353,http://www.wtcs.ca/,www.tdsb.on.ca,1100,43.65709,-79.4746,29,100,7,7,30,16,,,,75%,4.0,17%,-1.0,76%,4.0,21,12,2021-07-10 00:00:00,2018
4041,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),952605,Weston Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,100 Pine St,Toronto,Toronto,Ontario,M9N2Y9,416-394-3250,416-394-4429,http://www.westonci.ca,www.tdsb.on.ca,965,43.70381,-79.5094,50,100,11,11,27,1,,,,34%,-10.0,8%,-10.0,65%,0.0,31,23,2021-07-10 00:00:00,2018
4043,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),952818,Westview Centennial Secondary School,Public,Not applicable,Secondary,English,9-12,,,755 Oakdale Rd,Toronto,Toronto,Ontario,M3N1W7,416-395-3320,416-395-6627,http://schoolweb.tdsb.on.ca/westview,www.tdsb.on.ca,855,43.75239,-79.5251,47,100,13,13,29,0,,,,68%,17.0,7%,3.0,46%,7.0,38,33,2021-07-10 00:00:00,2018
4046,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),952990,Wexford Collegiate School for the Arts,Public,Not applicable,Secondary,English,9-12,,,1176 Pharmacy Ave,Toronto,Toronto,Ontario,M1R2H7,416-396-6874,416-396-6623,http://www.wexfordcsa.ca/,www.tdsb.on.ca,1135,43.74615,-79.3068,32,100,5,5,22,2,,,,74%,2.0,39%,6.0,82%,1.0,23,6,2021-07-10 00:00:00,2018
4055,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),950130,William Lyon Mackenzie Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,20 Tillplain Rd,Toronto,Toronto,Ontario,M3H5R2,416-395-3330,416-395-4453,http://www.wlmac.ca,www.tdsb.on.ca,1430,43.75346,-79.4619,50,99,16,15,13,22,,,,91%,-2.0,23%,-41.0,94%,4.0,19,5,2021-07-10 00:00:00,2018
4063,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954039,Winston Churchill Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2239 Lawrence Ave E,Toronto,Toronto,Ontario,M1P2P7,416-396-6883,416-396-6893,http://www.winstonchurchillci.ca,www.tdsb.on.ca,565,43.74807,-79.278,59,100,13,13,31,0,,,,62%,-18.0,18%,-9.0,57%,-12.0,31,11,2021-07-10 00:00:00,2018
4065,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954160,Woburn Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2222 Ellesmere Rd,Toronto,Toronto,Ontario,M1G3M3,416-396-4575,416-396-4569,http://www.woburnci.ca,www.tdsb.on.ca,910,43.77816,-79.2285,65,100,7,6,15,11,,,,73%,1.0,25%,-2.0,82%,3.0,28,12,2021-07-10 00:00:00,2018
4068,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954640,York Humber High School,Public,Vocational/Occupational,Secondary,English,9-12,,,100 Emmett Ave,Toronto,Toronto,Ontario,M6M2E6,416-394-3280,416-394-3441,http://yorkhumber.ca,www.tdsb.on.ca,190,43.68841,-79.5061,40,100,5,0,100,0,,,,N/R,,N/R,,N/R,,25,20,2021-07-10 00:00:00,2018
4069,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954683,York Memorial Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,15 Trehorne Drive,Toronto,Etobicoke,Ontario,M9P1N8,416-394-3000,416-394-3416,http://schoolweb.tdsb.on.ca/yorkmemorial,www.tdsb.on.ca,885,43.689575,-79.531032,53,100,4,4,17,1,,,,62%,6.0,3%,-7.0,85%,5.0,27,23,2021-07-10 00:00:00,2018
4070,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954810,York Mills Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,490 York Mills Rd,Toronto,Toronto,Ontario,M3B1W6,416-395-3340,416-395-9000,http://schoolweb.tdsb.on.ca/yorkmillsci/,www.tdsb.on.ca,1240,43.75152,-79.3735,49,98,8,8,10,2,,,,88%,,N/D,,93%,2.0,22,2,2021-07-10 00:00:00,2018
4071,B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954942,Yorkdale Secondary School,Public,Alternative,Secondary,English,9-12,,,38 Orfus Rd,Toronto,Toronto,Ontario,M6A1L6,416-395-3350,416-395-4456,http://www.yorkdale.net,www.tdsb.on.ca,415,43.72012,-79.4594,70,95,50,50,10,0,,,,,,,,N/D,,25,10,2021-07-10 00:00:00,2018
4077,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),890170,AAEC's/e-Learning,Public,Adult,Secondary,English,9-12,,,230 Angeline St. S,Kawartha Lakes,Lindsay,Ontario,K9V4R2,705-324-5280,705-324-9773,http://www.anewstart.ca,www.tldsb.ca,990,45.04095,-79.3181,8,99,1,2,13,0,,,,,,,,29%,8.0,15,7,2021-07-10 00:00:00,2018
4082,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),895660,Bracebridge and Muskoka Lakes Secondary School,Public,Not applicable,Secondary,English,9-12,,,100 Clear Brook Trail,Bracebridge,Bracebridge,Ontario,P1L0A3,705-645-4496,705-645-2552,http://bml.tldsb.on.ca/,www.tldsb.ca,780,45.06551,-79.3272,3,100,1,1,31,1,,,,86%,-4.0,65%,5.0,77%,-7.0,12,3,2021-07-10 00:00:00,2018
4087,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),909700,Fenelon Falls Secondary School,Public,Not applicable,Secondary,English,9-12,,,66 Lindsay St,Kawartha Lakes,Fenelon Falls,Ontario,K0M1N0,705-887-2018,705-887-9588,http://ffs.tldsb.on.ca/,www.tldsb.ca,620,44.53226,-78.739,0,100,0,0,40,0,,,,90%,19.0,56%,27.0,63%,-7.0,16,10,2021-07-10 00:00:00,2018
4091,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),914380,Gravenhurst High School,Public,Not applicable,Secondary,English,9-12,,,325 Mary St S,Gravenhurst,Gravenhurst,Ontario,P1P1X7,705-687-2283,705-687-4132,http://ghs.tldsb.on.ca/,www.tldsb.ca,330,44.91698,-79.3759,0,100,0,0,40,0,,,,96%,2.0,47%,-34.0,70%,-11.0,20,10,2021-07-10 00:00:00,2018
4093,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),915297,Haliburton Highland Secondary School,Public,Not applicable,Secondary,English,9-12,,,5358 County Rd. 21,Dysart et al,Haliburton,Ontario,K0M1S0,705-457-2950,705-457-4026,http://hss.tldsb.on.ca/,www.tldsb.ca,450,45.0432,-78.5236,0,100,0,0,40,0,,,,85%,13.0,46%,-3.0,69%,5.0,15,15,2021-07-10 00:00:00,2018
4095,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),917761,Huntsville High School,Public,Not applicable,Secondary,English,9-12,,,58 Brunel Rd,Huntsville,Huntsville,Ontario,P1H2A2,705-789-5594,705-789-2269,http://hhs.tldsb.on.ca/,www.tldsb.ca,900,45.32249,-79.2144,2,100,1,1,30,0,,,,91%,16.0,62%,22.0,79%,1.0,13,5,2021-07-10 00:00:00,2018
4097,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),918130,I E Weldon Secondary School,Public,Not applicable,Secondary,English,9-12,,,24 Weldon Rd,Kawartha Lakes,Lindsay,Ontario,K9V4R4,705-324-3585,705-878-3685,http://iew.tldsb.on.ca/,www.tldsb.ca,1060,44.35966,-78.7161,0,100,1,1,28,0,,,,83%,-2.0,56%,-1.0,73%,-14.0,13,5,2021-07-10 00:00:00,2018
4107,B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),922838,Lindsay Collegiate and Vocational Institute,Public,Vocational/Occupational,Secondary,English,9-12,,,260 Kent St W,Kawartha Lakes,Lindsay,Ontario,K9V2Z5,705-324-3556,705-878-3684,http://lcv.tldsb.on.ca/,www.tldsb.ca,565,44.35335,-78.7474,1,100,0,0,35,0,,,,85%,20.0,54%,-24.0,63%,-12.0,10,5,2021-07-10 00:00:00,2018
4126,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),891630,Almonte District High School,Public,Not applicable,Secondary,English,9-12,,,126 Martin Street North,Mississippi Mills,Almonte,Ontario,K0A1A0,613-256-1470,855-340-9073,http://almonte.ucdsb.on.ca/,www.ucdsb.on.ca,365,45.23164,-76.1961,0,100,0,0,25,0,,,,82%,17.0,39%,21.0,75%,-6.0,5,0,2021-07-10 00:00:00,2018
4129,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),892807,Athens District High School,Public,Not applicable,Secondary,English,9-12,,,21 Church Street,Athens,Athens,Ontario,K0E1B0,613-924-2618,855-340-9075,http://athens.ucdsb.on.ca,www.ucdsb.on.ca,140,44.62526,-75.9473,10,100,0,0,35,0,,,,52%,-16.0,N/R,,59%,-17.0,15,0,2021-07-10 00:00:00,2018
4134,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),896578,Brockville Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,90 Pearl Street East,Brockville,Brockville,Ontario,K6V1P8,613-345-5641,855-340-9078,http://bci.ucdsb.on.ca,www.ucdsb.on.ca,565,44.59573,-75.6822,9,99,1,0,24,2,,,,94%,12.0,40%,15.0,79%,-6.0,17,5,2021-07-10 00:00:00,2018
4137,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),898520,Carleton Place High School,Public,Not applicable,Secondary,English,9-12,,,215 Lake Ave W,Carleton Place,Carleton Place,Ontario,K7C1M3,613-257-2720,855-340-9082,http://carletonplace.ucdsb.on.ca/,www.ucdsb.on.ca,595,45.13362,-76.1483,7,99,1,1,26,1,,,,93%,-1.0,43%,-3.0,84%,7.0,8,2,2021-07-10 00:00:00,2018
4142,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),897876,Charlottenburgh and Lancaster District High School,Public,Not applicable,Secondary,English,9-12,,,19743 John St,South Glengarry,Williamstown,Ontario,K0C2J0,613-347-2441,855-358-3357,http://char-lan.ucdsb.on.ca/,www.ucdsb.on.ca,220,45.14456,-74.5729,5,95,0,0,30,0,,,,77%,-15.0,53%,,95%,3.0,10,10,2021-07-10 00:00:00,2018
4146,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),902810,Cornwall Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,437 Sydney Street,Cornwall,Cornwall,Ontario,K6H3H9,613-932-8360,855-358-3361,http://ccvs.ucdsb.on.ca,www.ucdsb.on.ca,530,45.02286,-74.7281,19,99,1,1,36,0,,,,52%,-17.0,35%,5.0,52%,-3.0,22,11,2021-07-10 00:00:00,2018
4153,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),911526,Gananoque Secondary School,Public,Not applicable,Secondary,English,9-12,,,175 William Street South,Gananoque,Gananoque,Ontario,K7G1S8,613-382-4741,855-376-4214,http://gananoque.ucdsb.on.ca/,www.ucdsb.on.ca,310,44.33058,-76.1567,5,100,0,0,30,0,,,,89%,18.0,61%,33.0,74%,5.0,10,0,2021-07-10 00:00:00,2018
4155,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),913219,Glengarry District High School,Public,Not applicable,Secondary,English,9-12,,,212 Main Street North,North Glengarry,Alexandria,Ontario,K0C1A0,613-525-1066,855-376-4217,http://glengarry.ucdsb.on.ca/,www.ucdsb.on.ca,235,45.31532,-74.6402,5,90,5,5,40,0,,,,96%,13.0,N/R,,75%,-8.0,20,5,2021-07-10 00:00:00,2018
4173,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),929590,North Dundas District High School,Public,Not applicable,Secondary,English,9-12,,,12835 #43 County Road RR 3,North Dundas,Chesterville,Ontario,K0C1H0,613-448-2328,855-408-0859,http://northdundas.ucdsb.on.ca/,www.ucdsb.on.ca,300,45.09167,-75.2866,0,100,0,5,25,5,,,,83%,0.0,44%,0.0,77%,-1.0,10,0,2021-07-10 00:00:00,2018
4176,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),929859,North Grenville District High School,Public,Not applicable,Secondary,English,9-12,,,2605 Concession Rd,North Grenville,Kemptville,Ontario,K0G1J0,613-258-3481,855-408-0861,http://northgrenville.ucdsb.on.ca/,www.ucdsb.on.ca,610,45.00819,-75.6468,4,99,0,1,26,0,,,,93%,0.0,56%,-10.0,72%,-2.0,9,1,2021-07-10 00:00:00,2018
4182,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),935050,Perth and District Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,13 Victoria St,Perth,Perth,Ontario,K7H2H3,613-267-3051,855-408-0865,http://perth.ucdsb.on.ca/,www.ucdsb.on.ca,500,44.90469,-76.2503,3,100,0,0,24,2,,,,86%,1.0,50%,0.0,77%,2.0,16,1,2021-07-10 00:00:00,2018
4185,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),936286,Prescott-Russell Eastern Ontario,Public,Alternative,Secondary,English,9-12,,,,,,,,,,,,115,,,15,85,0,0,25,0,,,,,,,,,,5,0,2021-07-10 00:00:00,2018
4187,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),938300,Rideau District High School,Public,Not applicable,Secondary,English,9-12,,,251 Main St RR2,Rideau Lakes,Elgin,Ontario,K0G1E0,613-359-5391,855-428-1502,http://rideaudhs.ucdsb.on.ca/,www.ucdsb.on.ca,260,44.61564,-76.2101,0,100,0,0,30,0,,,,82%,-15.0,43%,-15.0,75%,-3.0,10,0,2021-07-10 00:00:00,2018
4190,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),935425,Rockland District High School,Public,Not applicable,Secondary,English,9-12,,,1004 St Joseph Street,Clarence-Rockland,Rockland,Ontario,K4K1P6,613-446-7347,855-428-1504,http://rocklanddhs.ucdsb.on.ca,www.ucdsb.on.ca,250,45.54438,-75.2848,10,100,0,0,35,0,,,,79%,17.0,63%,30.0,66%,-7.0,10,0,2021-07-10 00:00:00,2018
4195,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),937673,Russell High School,Public,Not applicable,Secondary,English,9-12,,,982 North Russell Road,Russell,Russell,Ontario,K4R1C8,613-445-2659,855-484-6072,http://russellhs.ucdsb.on.ca,www.ucdsb.on.ca,275,45.26657,-75.364,10,95,0,0,30,0,,,,59%,-13.0,23%,-21.0,73%,-1.0,0,0,2021-07-10 00:00:00,2018
4198,B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),918415,Seaway District High School,Public,Not applicable,Secondary,English,9-12,,,2 Beach Avenue,South Dundas,Iroquois,Ontario,K0E1K0,613-652-4878,855-484-6075,http://seaway.ucdsb.on.ca,www.ucdsb.on.ca,260,44.85073,-75.3149,0,100,0,0,35,0,,,,95%,0.0,52%,10.0,67%,0.0,20,0,2021-07-10 00:00:00,2018
